Locus tag,Locus,log_fc,pvalue
Rv3853,rraA,-0.3318952616565334,0.0187
Rv1492,mutA,-0.3316612172182872,0.1181
Rv0949,uvrD1,-0.33105414868072297,0.1836
Rv3575c,,-0.33091742721916256,0.0546
Rv1638,uvrA,-0.33010036609956356,0.4158
Rv3256c,,-0.3296242240833742,0.0832
Rv2988c,leuC,-0.3293000472919746,0.2567
Rv2752c,,-0.32857525807501065,0.0911
Rv3799c,accD4,-0.3285336792055045,0.0505
Rv0312,,-0.3279903492522841,0.3738
Rv3787c,,-0.3278819337439658,0.0507
Rv0172,mce1D,-0.32767273528656377,0.4444
Rv1121,zwf1,-0.32762554793589105,0.0613
Rv3565,aspB,-0.32739036761306245,0.0231
Rv3259,,-0.32717863294349947,0.3967
Rv2041c,,-0.3270489577359636,0.1244
Rv1141c,echA11,-0.3265088622182977,0.5767
Rv1239c,corA,-0.3240216911748,0.3285
Rv0118c,oxcA,-0.32300130397769006,0.1169
Rv0212c,nadR,-0.32278711949780126,0.1399
Rv2477c,,-0.32265959569678004,0.0485
Rv3328c,sigJ,-0.32182995036458806,0.1151
Rv2694c,,-0.3213343619170132,0.3738
Rv1694,tlyA,-0.321299409293228,0.2768
Rv1692,,-0.3212309800513634,0.2573
Rv2152c,murC,-0.32097424689169785,0.0071
Rv1927,,-0.32048366189251115,0.5947
Rv3504,fadE26,-0.3203420861933542,0.1676
Rv2681,,-0.3201575211975706,0.0148
Rv3651,,-0.3196325594740802,0.1993
Rv1429,,-0.31936106608201537,0.0332
Rv3711c,dnaQ,-0.3192821484189021,0.2958
Rv2559c,,-0.319019122425361,0.2183
Rv3554,fdxB,-0.3187586868090837,0.3401
Rv0926c,,-0.316878700287945,0.0393
Rv1383,carA,-0.3162834480541561,0.1065
Rv3361c,,-0.3156891249233999,0.652
Rv1399c,nlhH,-0.3153575930260925,0.1983
Rv1310,atpD,-0.3151968625178716,0.0711
Rv0149,,-0.31516819571949534,0.0308
Rv0672,fadE8,-0.31486781339476566,0.091
Rv1462,,-0.31473547489401243,0.0684
Rv3276c,purK,-0.31472598844470906,0.0311
Rv3720,,-0.3140407076201176,0.1126
Rv2870c,dxr,-0.31382753370326794,0.1433
Rv1098c,fum,-0.31360634874904403,0.0873
Rv1655,argD,-0.3126761359614417,0.1161
