Locus tag,Locus,log_fc,pvalue
Rv3147,nuoC,-0.4734030227291269,0.0529
Rv0778,cyp126,-0.4722159819090751,0.1078
Rv2000,,-0.4685274469422359,0.0371
Rv0993,galU,-0.4675920158902104,0.0785
Rv0714,rplN,-0.467250244083966,0.113
Rv2482c,plsB2,-0.46368920024482135,0.0606
Rv3372,otsB2,-0.46088393971717256,0.0473
Rv2842c,,-0.4587489627383626,0.3592
Rv3179,,-0.4567367516644747,0.1021
Rv3225c,,-0.4563641067161923,0.03
Rv3908,mutT4,-0.45600688435543657,0.0628
Rv0694,,-0.4559029904119966,0.0687
Rv0792c,,-0.4556494297715093,0.3499
Rv2112c,dop,-0.4544245975737896,0.0215
Rv3150,nuoF,-0.45418977077906825,0.0656
Rv3586,,-0.451471625649793,0.1008
Rv0070c,glyA2,-0.4506638861411184,0.0315
Rv2334,cysK1,-0.45020225577550627,0.0994
Rv1569,bioF1,-0.4494268701612281,0.1215
Rv2141c,,-0.4484249311764162,0.0039
Rv1694,tlyA,-0.4475355665300958,0.1236
Rv2494,vapC38,-0.4475126460178665,0.2448
Rv1710,scpB,-0.44751192820084645,0.0266
Rv1599,hisD,-0.44710197733046014,0.0696
Rv3674c,nth,-0.443961346124522,0.0346
Rv2156c,murX,-0.4437059599401757,0.1395
Rv1423,whiA,-0.44344579441054527,0.0293
Rv3231c,,-0.44157422705819477,0.3301
Rv0120c,fusA2,-0.4405626043307698,0.0126
Rv2426c,,-0.4384617640049395,0.0006
Rv3303c,lpdA,-0.43809974335306695,0.0309
Rv2629,,-0.4359882820461426,0.0372
Rv2592c,ruvB,-0.4358495720256669,0.1468
Rv0107c,ctpI,-0.43500821872289847,0.2374
Rv2860c,glnA4,-0.4347460099833741,0.0192
Rv3237c,,-0.43376610069141003,0.2444
Rv0217c,lipW,-0.4332444176950978,0.1438
Rv0470c,pcaA,-0.4322149322445894,0.0001
Rv0289,espG3,-0.431940852736882,0.0509
Rv2246,kasB,-0.43189751649251706,0.1005
Rv3213c,,-0.43174044854590227,0.1209
Rv3480c,,-0.4303517109432539,0.1525
Rv2187,fadD15,-0.43008732287239015,0.0226
Rv2102,,-0.4298130703217893,0.1347
Rv3308,pmmB,-0.4294954049114254,0.0972
Rv2559c,,-0.4254920240786081,0.1113
Rv3075c,,-0.4253421480357624,0.039
Rv3399,,-0.4252461496954952,0.0042
Rv2441c,rpmA,-0.4246498524331539,0.2127
Rv0925c,,-0.4244443435339381,0.0287
Rv1713,engA,-0.42429343187115426,0.035
Rv3058c,,-0.4236833305452421,0.139
Rv3241c,,-0.4231341455768586,0.3141
Rv2442c,rplU,-0.42312634338593974,0.2885
Rv0264c,,-0.4228479908005981,0.1235
Rv3168,,-0.4203584164403047,0.0315
Rv2756c,hsdM,-0.4200507007507531,0.0043
Rv1196,PPE18,-0.4195947663356349,0.384
Rv1361c,PPE19,-0.4195947663356349,0.384
Rv2440c,obg,-0.4195937426290807,0.0329
Rv2173,idsA2,-0.41914629557984145,0.1312
Rv1269c,,-0.418986781292016,0.3354
Rv2237,,-0.417350707110315,0.2651
Rv1288,,-0.4169065167944925,0.1249
Rv3377c,,-0.4166600370039569,0.0202
Rv3208,,-0.4162976212369308,0.0229
Rv3375,amiD,-0.41507998334147805,0.0364
Rv3240c,secA1,-0.41504286359743375,0.3618
Rv0068,,-0.4142204358405859,0.0176
Rv3875,esxA,-0.41341381494514934,0.2593
Rv3220c,,-0.4124495901726006,0.0005
Rv1632c,,-0.41140743149652126,0.3888
Rv3711c,dnaQ,-0.41139539579103546,0.2723
Rv2210c,ilvE,-0.41128571754886734,0.0344
Rv3259,,-0.41094672570629426,0.3167
Rv2454c,,-0.41085872672889406,0.0698
